transaction_id,amount,time_seconds,merchant_id,country,device_id,is_fraud
1,37.54,25499,1078,UK,2935,0
2,240.81,6421,1064,ZA,2234,0
3,105.34,52204,1062,CN,2034,0
4,73.04,24591,1049,ZA,2638,0
5,13.57,60940,1046,NG,2338,0
6,13.57,86371,1007,US,2955,0
7,4.79,12202,1030,ZA,2453,0
8,160.9,19290,1010,ZA,2478,0
9,73.53,18130,1016,CN,2858,0
10,98.5,37077,1026,CN,2258,0
11,1.66,19396,1094,US,2639,0
12,280.28,60848,1026,ZA,2052,0
13,142.91,83488,1077,ZA,2611,0
14,19.1,60530,1086,ZA,2442,0
15,16.05,64274,1055,US,2419,0
16,16.21,27122,1068,ZA,2705,0
17,29.02,29381,1093,ZA,2751,0
18,59.51,45435,1097,US,2248,0
19,45.24,23267,1046,NG,2292,0
20,27.54,61978,1018,IN,2206,0
21,75.71,7088,1056,UK,2100,0
22,12.02,12822,1030,NG,2214,0
23,27.64,50216,1015,ZA,2299,0
24,36.5,36589,1044,US,2575,0
25,48.71,65262,1026,NG,2434,0
26,123.03,57911,1060,NG,2238,0
27,17.82,1436,1025,US,2123,0
28,57.76,61854,1028,US,2517,0
29,71.8,61888,1043,CN,2736,0
30,3.81,27281,1028,UK,2836,0
31,74.83,84403,1094,UK,2148,0
32,14.96,53952,1001,IN,2056,0
33,5.38,22766,1005,ZA,2155,0
34,237.9,21213,1008,US,2596,0
35,269.65,62239,1014,CN,2535,0
36,132.19,22537,1083,ZA,2114,0
37,29.06,2794,1057,ZA,2603,0
38,8.22,59204,1001,UK,2330,0
39,92.22,32324,1002,ZA,2190,0
40,46.41,56764,1051,UK,2533,0
41,10.41,30858,1054,ZA,2365,0
42,54.68,42850,1052,UK,2493,0
43,2.8,13018,1093,UK,2545,0
44,192.03,83017,1071,US,2248,0
45,23.96,50790,1039,ZA,2885,0
46,86.9,81120,1084,ZA,2036,0
47,29.88,9850,1038,ZA,2296,0
48,58.73,45975,1042,US,2464,0
49,63.3,65510,1012,ZA,2846,0
50,16.35,65696,1036,IN,2220,0
51,279.42,25832,1054,NG,2737,0
52,119.38,24886,1031,ZA,2872,0
53,224.41,8418,1013,ZA,2810,0
54,180.17,7081,1064,ZA,2789,0
55,72.88,10114,1026,UK,2858,0
56,203.95,18722,1023,ZA,2485,0
57,7.41,17985,1021,ZA,2398,0
58,17.45,5888,1077,ZA,2532,0
59,3.7,69254,1044,CN,2051,0
60,31.48,83845,1007,NG,2771,0
61,39.37,19299,1090,IN,2430,0
62,25.32,56050,1066,ZA,2913,0
63,141.16,22036,1063,ZA,2838,0
64,35.3,85421,1096,ZA,2207,0
65,26.38,29346,1046,CN,2885,0
66,62.59,26691,1020,ZA,2418,0
